30 20
7 7 0 0 7 0 0 0 0 0 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 
7 0 7 7 0 7 7 7 7 7 0 0 7 7 7 7 7 0 0 0 7 0 7 0 7 1 1 7 7 7 
0 7 7 0 7 7 7 7 7 7 7 7 0 7 7 7 7 0 7 0 7 0 0 0 7 1 1 7 7 7 
0 7 7 7 7 7 0 7 0 7 7 7 7 0 7 7 7 0 0 7 7 7 7 0 7 2 2 7 7 7 
0 7 7 7 7 7 0 7 0 7 7 7 7 0 7 7 7 0 7 0 7 0 0 7 7 2 2 7 7 7 
0 7 7 7 7 7 0 7 0 7 7 7 7 7 0 7 7 7 7 7 7 7 7 7 7 3 3 7 7 7 
0 7 7 7 7 7 7 7 7 7 7 7 7 7 7 0 7 0 0 0 7 7 0 0 7 3 3 7 7 7 
0 7 7 7 7 7 7 0 7 7 7 7 7 7 7 0 7 0 7 7 7 0 7 0 7 4 4 7 7 7 
7 0 7 7 7 7 7 0 7 7 7 7 7 7 7 0 7 7 0 0 7 0 0 0 7 4 4 7 7 7 
7 0 7 7 7 7 7 7 7 7 7 7 0 0 0 7 7 7 7 0 7 0 7 0 7 5 5 7 7 7 
7 0 7 7 7 7 7 7 7 7 7 0 1 1 1 0 7 0 0 0 7 0 7 0 7 5 5 7 7 7 
7 7 0 7 7 7 7 7 7 7 0 1 1 1 1 0 7 7 7 7 7 7 7 7 7 6 6 7 7 7 
7 7 0 0 7 7 7 7 7 7 0 1 1 1 1 0 7 7 0 7 7 0 7 7 7 6 6 7 7 7 
7 0 1 1 0 0 7 7 7 0 1 1 1 1 0 7 7 7 0 7 7 0 7 7 7 7 7 7 7 7 
0 1 1 1 1 1 0 0 0 0 0 1 1 0 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 
7 0 0 0 0 0 0 7 7 7 0 0 0 7 7 7 7 7 0 7 7 0 7 7 7 7 7 7 7 7 
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 0 0 7 7 7 7 7 7 7 7 7 
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 
